city,street,house,postcode
Дубна,ул. Красноярская,д. 07,645123
Омск,ул. Льва Толстого,д. 21,952180
Красноуфимск,ул. Смирнова,д. 24,536015
Карачаевск,ул. Парижской Коммуны,д. 85,399954
Нефтекамск,ул. Береговая,д. 00,107830
Владикавказ,ул. Хвойная,д. 34,374065
Красноселькуп,ул. Культуры,д. 82,046235
Ставрополь,ул. Дарвина,д. 22,773961
Адыгейск,ул. Парижской Коммуны,д. 46,890851
Кижи,ул. Путевая,д. 58,334172
Ямбург,ул. Лунная,д. 35,151099
Лотошино,ул. Володарского,д. 99,714456
Сосновый Бор,ул. Лесозаводская,д. 22,500210
Каменск-Шахтинский,ул. Энтузиастов,д. 48,889584
Шатой,ул. Речная,д. 88,792936
Пушкино (Моск.),ул. Колхозная,д. 21,299952
Кош-Агач,ул. Сосновая,д. 38,094049
Усть-Джегута,ул. Крупской,д. 39,163115
Нарьян-Мар,ул. Шолохова,д. 82,229792
Обоянь,ул. Химиков,д. 75,986787
Бодайбо,ул. Васильковая,д. 27,284270
Энгельс,ул. Краснознаменная,д. 67,559405
Луга,ул. Механическая,д. 35,806887
Шуя,ул. Сельская,д. 37,380773
Киренск,ул. Тепличная,д. 71,795891
Каменск-Шахтинский,ул. Поперечная,д. 01,289268
Надым,ул. Белорусская,д. 94,081974
Сорочинск,ул. Подлесная,д. 30,647351
Махачкала,ул. Медицинская,д. 45,921170
Диксон,ул. Кооперативная,д. 37,605942
Нижневартовск,ул. Майская,д. 44,596363
Оса,ул. Трудовая,д. 76,229249
Кировск (Мурм.),ул. Механическая,д. 35,806887
Пермь,ул. Некрасова,д. 84,691133
Макушино,ул. Подлесная,д. 30,647351
Темрюк,ул. Чапаева,д. 29,880292
Верхоянск,ул. Урожайная,д. 65,688483
Лодейное Поле,ул. Камская,д. 15,756210
Чехов,ул. Короткая,д. 71,756328
Кемерово,ул. Энтузиастов,д. 45,702048
Тихвин,ул. Металлистов,д. 61,751269
Чулым,ул. Волгоградская,д. 09,962179
Шахты,ул. Урожайная,д. 65,688483
Волгодонск,ул. Волкова,д. 52,155763
Орел,ул. Дорожников,д. 97,344235
Калач,ул. Набережная,д. 78,780005
Печора,ул. Больничная,д. 01,082174
Славгород,ул. Приозерная,д. 72,522141
Ялуторовск,ул. Чайкиной,д. 13,451887
Санкт-Петербург,ул. Дальневосточная,д. 85,890201
Снежногорск (Мурм.),ул. Дачная,д. 27,284489
Бомнак,ул. Полярная,д. 46,162375
Углегорск,ул. Поперечная,д. 03,373432
Колпашево,ул. Чапаева,д. 29,880292
Катайск,ул. Торговая,д. 74,176185
Самара,ул. Боровая,д. 99,386085
Усть-Джегута,ул. Красина,д. 77,013214
Курган,ул. Коминтерна,д. 47,623378
Брянск,ул. Калужская,д. 23,727053
Борзя,ул. Кольцова,д. 29,543079
Луга,ул. Герцена,д. 15,941224
Новая Игирма,ул. Большевистская,д. 64,210526
Владикавказ,ул. Лесозаводская,д. 11,395206
Тотьма,ул. Вахитова,д. 89,023753
Красноуфимск,ул. Проточная,д. 95,466095
Хасавюрт,ул. Большевистская,д. 79,090765
Вологда,ул. Краснопартизанская,д. 41,942390
Анапа,ул. Красина,д. 19,470427
Тихорецк,ул. Серафимовича,д. 00,374440
Ярославль,ул. Ставропольская,д. 64,386433
Середниково,ул. Осенняя,д. 50,888882
Холмогоры,ул. Коммунистическая,д. 65,149604
Верхний Баскунчак,ул. Флотская,д. 60,260238
Невинномысск,ул. Серова,д. 26,892868
Кулунда,ул. Краснопартизанская,д. 56,395294
Мокшан,ул. Театральная,д. 70,076527
Шелагонцы,ул. Чкалова,д. 58,655266
Оленегорск (Якут.),ул. Черноморская,д. 47,607703
Череповец,ул. Вахитова,д. 89,023753
Плес,ул. Олимпийская,д. 53,359708
Барнаул,ул. Дружба,д. 89,267776
Благовещенск (Амур.),ул. Есенина,д. 45,354794
Волгоград,ул. Базарная,д. 47,093866
Дно,ул. Сельская,д. 57,752585
Бузулук,ул. Куйбышева,д. 91,670296
Нижний Новгород,ул. Омская,д. 00,099280
Качканар,ул. Путейская,д. 10,591257
Белореченск,ул. Высоцкого,д. 73,142080
Чусовой,ул. Кольцова,д. 29,543079
Кизел,ул. Фадеева,д. 82,702247
Усинск,ул. Победы,д. 47,098147
Морозовск,ул. Глинки,д. 32,111623
Змеиногорск,ул. З.Космодемьянской,д. 49,554433
Хасан,ул. Осенняя,д. 03,202023
Тихвин,ул. Колхозная,д. 92,093180
Горячинск,ул. Гастелло,д. 52,275840
Ногинск (Моск.),ул. Химиков,д. 75,986787
Карабулак,ул. Гоголя,д. 06,073713
Березники,ул. Виноградная,д. 51,669106
Ухта,ул. Высокая,д. 43,422224
Снежногорск (Мурм.),ул. Главная,д. 55,076208
Грозный,ул. Цветочная,д. 48,346835
Урюпинск,ул. Декабристов,д. 60,256028
Шали,ул. Л.Толстого,д. 26,823000
Ульяновск,ул. Высоцкого,д. 86,373584
Салават,ул. Маяковского,д. 92,445242
Орел,ул. Камская,д. 08,471130
Южно-Сахалинск,ул. Свободы,д. 95,212387
Елабуга,ул. Мелиоративная,д. 08,239508
Челюскин,ул. Щорса,д. 12,768817
Макушино,ул. 40 лет Победы,д. 82,677026
Ангарск,ул. Кольцова,д. 42,906467
Курганинск,ул. Восточная,д. 11,004020
Нарьян-Мар,ул. Кочубея,д. 67,320867
Благовещенск (Амур.),ул. Энергетическая,д. 36,929947
Углич,ул. Заречная,д. 48,101897
Морозовск,ул. Малая,д. 65,320129
Ялуторовск,ул. Гончарова,д. 23,427137
Когалым,ул. Производственная,д. 08,543962
Моршанск,ул. Транспортная,д. 33,288065
Борзя,ул. Ростовская,д. 06,364990
Красноярск,ул. Водников,д. 05,651050
Верхний Тагил,ул. Мельничная,д. 19,970311
Змеиногорск,ул. Специалистов,д. 31,330813
Ялуторовск,ул. Производственная,д. 08,543962
Переславль-Залесский,ул. Розы Люксембург,д. 17,751343
Липецк,ул. Журавлева,д. 24,545579
Химки,ул. Волочаевская,д. 07,773046
Тимашевск,ул. Космодемьянской,д. 45,052165
Урай,ул. Рябиновая,д. 03,751267
Бийск,ул. Волкова,д. 45,319489
Хатанга,ул. Свободы,д. 95,212387
Южно-Сахалинск,ул. Пограничная,д. 25,534940
Норильск,ул. Береговая,д. 47,393460
Снежинск,ул. Загородная,д. 76,095423
Темрюк,ул. Ангарская,д. 63,323387
Шенкурск,ул. М.Горького,д. 38,573647
Переславль-Залесский,ул. Локомотивная,д. 44,208998
Волгоград,ул. Баумана,д. 52,540246
Валдай,ул. Лазо,д. 97,185579
Териберка,ул. Енисейская,д. 30,454795
Бронницы,ул. Королева,д. 89,281416
Дагомыс,ул. Проезжая,д. 38,649257
Тутончаны,ул. Путейская,д. 30,465579
Тула,ул. Сибирская,д. 70,985661
Углегорск,ул. Крестьянская,д. 60,674333
Палана,ул. Энтузиастов,д. 54,213445
Кострома,ул. Павлика Морозова,д. 62,770790
Видное,ул. Элеваторная,д. 32,259779
Владимир,ул. Космодемьянской,д. 62,047277
Хабаровск,ул. Энтузиастов,д. 48,889584
Эльбрус,ул. Снежная,д. 94,613544
Шенкурск,ул. Жуковского,д. 28,894482
Печенга,ул. Коммунальная,д. 74,918107
Арзамас,ул. Учительская,д. 25,057643
Кингисепп,ул. Советской Армии,д. 76,799875
Темрюк,ул. Воронежская,д. 83,797656
Тольятти,ул. Коммунальная,д. 00,074907
Котлас,ул. Сельская,д. 37,380773
Ишим,ул. Свободы,д. 95,212387
Усть-Калманка,ул. Заводская,д. 16,941290
Черемхово,ул. Тамбовская,д. 24,794974
Россошь,ул. Светлая,д. 52,097858
Старая Русса,ул. Ручейная,д. 70,789500
Печора,ул. Ленская,д. 22,929304
Ряжск,ул. 70 лет Октября,д. 67,139256
Приозерск,ул. Железнодорожная,д. 36,522441
Ямбург,ул. Пугачева,д. 73,382825
Верхний Уфалей,ул. Коллективная,д. 41,543400
Псебай,ул. Ореховая,д. 51,719904
Уэлен,ул. Максима Горького,д. 15,341319
Ербогачен,ул. Амурская,д. 05,765772
Белгород,ул. Красных Партизан,д. 47,861740
Тырныауз,ул. Энгельса,д. 93,990127
Каменск-Шахтинский,ул. Толбухина,д. 36,678157
Славгород,ул. О.Кошевого,д. 81,755009
Братск,ул. М.Горького,д. 38,573647
Сарапул,ул. Высокая,д. 41,129312
Руза,ул. Береговая,д. 47,393460
Суздаль,ул. Васильковая,д. 67,089290
Урус-Мартан,ул. Достоевского,д. 53,492698
Меренга,ул. Высотная,д. 59,970473
Соль-Илецк,ул. Комарова,д. 06,035736
Кировск (Мурм.),ул. Сельская,д. 37,380773
Краснотурьинск,ул. Ильича,д. 21,664784
Городовиковск,ул. Осенняя,д. 50,888882
Нязепетровск,ул. Новоселов,д. 64,861189
Токсово,ул. Енисейская,д. 43,450795
Углич,ул. Ореховая,д. 51,719904
Кисловодск,ул. 40 лет Победы,д. 50,139307
Краснотурьинск,ул. Герцена,д. 15,941224
Елабуга,ул. Луговая,д. 39,772210
Сосновый Бор,ул. Володарского,д. 84,235891
Пермь,ул. Лазо,д. 03,224296
Зеленоград,ул. Детская,д. 94,918266
Кизел,ул. Коммунистическая,д. 64,509636
Ведено,ул. Казачья,д. 13,048919
Карачаевск,ул. Громова,д. 97,488143
Красноярск,ул. Надежды,д. 82,330910
Черемхово,ул. Вишневая,д. 17,649896
Орел,ул. Береговая,д. 00,107830
Саратов,ул. Надежды,д. 92,990012
Владивосток,ул. Ленинская,д. 68,996099
Подольск,ул. Тракторная,д. 18,429270
Пятигорск,ул. Путейская,д. 74,563336
Губкин,ул. Флотская,д. 60,260238
Красногорск (Моск.),ул. Детская,д. 94,918266
Пятигорск,ул. Белинского,д. 99,780090
Лотошино,ул. Союзная,д. 45,813450
Дивногорск,ул. Садовая,д. 19,592540
Усолье Сибирское,ул. Дорожников,д. 91,251684
Мурманск,ул. Разина,д. 19,654935
Шатура,ул. Серова,д. 26,892868
Торжок,ул. Энергетиков,д. 70,306749
Чегем,ул. Каштановая,д. 65,754278
Калач,ул. Камская,д. 15,756210
Саранск,ул. Подлесная,д. 30,647351
Фатеж,ул. Беляева,д. 91,939719
Тикси,ул. Коммунистическая,д. 11,082430
Ногинск (Моск.),ул. Васильковая,д. 67,089290
Фатеж,ул. Украинская,д. 18,626157
Урай,ул. Майская,д. 27,275819
Медногорск,ул. Республиканская,д. 38,544744
Бомнак,ул. Солнечная,д. 06,258160
Малгобек,ул. Дружба,д. 89,267776
Кулу,ул. М.Горького,д. 71,788608
Астрахань,ул. Коммунальная,д. 00,074907
Плес,ул. Красных Партизан,д. 20,193550
Оленек,ул. Тенистая,д. 17,410910
Тобольск,ул. Лазурная,д. 51,075427
Орехово-Зуево,ул. Речная,д. 82,013928
Домбай,ул. Российская,д. 34,373794
Северо-Курильск,ул. Пушкина,д. 76,484743
Чегем,ул. Волкова,д. 82,701370
Благовещенск (Амур.),ул. Чехова,д. 44,819861
Печенга,ул. Дальневосточная,д. 85,890201
Улан-Удэ,ул. Высотная,д. 72,226893
Тихвин,ул. Новоселов,д. 64,861189
Тосно,ул. Ушакова,д. 45,326148
Анапа,ул. Трактовая,д. 85,572670
Кондопога,ул. Таежная,д. 70,297864
Губкинский,ул. Хуторская,д. 45,929604
Архангельск,ул. Кирпичная,д. 60,228862
Серебряные Пруды,ул. Кооперативная,д. 37,605942
Брянск,ул. Челюскинцев,д. 48,606153
Славянск-на-Кубани,ул. Революционная,д. 00,986815
Гусь-Хрустальный,ул. Олимпийская,д. 53,359708
Белый Яр (Томск.),ул. Энгельса,д. 69,693451
Пенза,ул. Волочаевская,д. 86,423769
Горно-Алтайск,ул. Челюскинцев,д. 89,095127
Анадырь,ул. Олимпийская,д. 46,159586
Палана,ул. Щорса,д. 10,880444
Урюпинск,ул. Ленинградская,д. 21,658854
Калачинск,ул. Енисейская,д. 95,685150
Нижний Тагил,ул. Шоссейная,д. 13,655445
Котлас,ул. Трудовая,д. 29,229298
Плес,ул. Ягодная,д. 14,446448
Вязьма,ул. Производственная,д. 95,684076
Ростов,ул. Стахановская,д. 67,011816
Волоколамск,ул. Светлая,д. 52,097858
Кропоткин (Краснод.),ул. Подстанция,д. 56,749941
Вытегра,ул. Вавилова,д. 34,912186
Нижнекамск,ул. Полевая,д. 14,343685
Чулым,ул. Привокзальная,д. 28,163507
Котельнич,ул. Просвещения,д. 77,667531
Карачаевск,ул. Славянская,д. 63,914114
Ноябрьск,ул. Заовражная,д. 16,932290
Карабулак,ул. З.Космодемьянской,д. 49,554433
Хатанга,ул. Балтийская,д. 87,053584
Рубцовск,ул. Набережная,д. 78,780005
Владимир,ул. Специалистов,д. 31,330813
Саров (Морд.),ул. Леонова,д. 01,745586
Каменск-Шахтинский,ул. Волочаевская,д. 07,773046
Корсаков,ул. Краснопартизанская,д. 01,177093
Екатеринбург,ул. Иркутская,д. 41,532214
Кижи,ул. Плеханова,д. 33,503679
Торжок,ул. Цветочная,д. 51,945140
Усть-Баргузин,ул. Абрикосовая,д. 77,954607
Шатура,ул. Чкалова,д. 56,974591
Ямбург,ул. Высотная,д. 48,100553
Бузулук,ул. Новосельская,д. 35,911540
Североуральск,ул. Ветеранов,д. 60,134439
Кашхатау,ул. Тюленина,д. 65,510371
Калач,ул. Орджоникидзе,д. 64,083641
Нурлат,ул. Новая,д. 00,419197
Листвянка (Иркут.),ул. Майская,д. 62,183192
Меренга,ул. Таманская,д. 86,313097
Кош-Агач,ул. Угольная,д. 54,337211
Архыз,ул. Леонова,д. 85,235171
Клин,ул. Лазо,д. 97,185579
Шали,ул. Станционная,д. 54,953403
Кимры,ул. Космонавтов,д. 59,143739
Яшалта,ул. Техническая,д. 62,521415
Калачинск,ул. Кошевого,д. 68,135269
Ирбит,ул. Революционная,д. 00,986815
Мытищи,ул. Лермонтова,д. 73,018026
Россошь,ул. Рябиновая,д. 98,035804
Усть-Баргузин,ул. Пархоменко,д. 91,960003
Устюжна,ул. Краснознаменная,д. 59,824886
Челябинск,ул. Калужская,д. 23,727053
Истра,ул. Заводская,д. 60,119273
Красноселькуп,ул. Красных Партизан,д. 17,419992
Мокшан,ул. Республиканская,д. 38,544744
Сальск,ул. Просвещения,д. 42,925160
Ардон,ул. Севастопольская,д. 49,297649
Железногорск(Курск.),ул. Свободы,д. 95,212387
Уссурийск,ул. Кутузова,д. 82,630234
Раменское,ул. Станционная,д. 16,446669
Королев,ул. Социалистическая,д. 76,008838
Буденновск,ул. Заводская,д. 16,941290
Обнинск,ул. Майская,д. 04,760289
Нурлат,ул. Горняцкая,д. 53,956042
Ханты-Мансийск,ул. Правды,д. 26,365190
Петухово,ул. Рязанская,д. 98,030398
Яхрома,ул. Сурикова,д. 65,648326
Томск,ул. Леваневского,д. 54,121789
Луга,ул. Северная,д. 43,610841
Калязин,ул. Островского,д. 36,746735
Нягань,ул. Сосновая,д. 60,718170
Жиганск,ул. Депутатская,д. 71,818475
Североморск,ул. Сосновая,д. 38,094049
Ногинск (Моск.),ул. Таманская,д. 22,207860
Бугульма,ул. 8 Марта,д. 77,552963
Ирбит,ул. Разина,д. 15,308794
Серебряные Пруды,ул. Просторная,д. 85,976107
Алапаевск,ул. Крупской,д. 22,377936
Буденновск,ул. Привольная,д. 55,155448
Валаам,ул. Энтузиастов,д. 45,702048
Салехард,ул. Механическая,д. 97,901191
Нижний Тагил,ул. Лесхозная,д. 85,392151
Иваново,ул. Надежды,д. 82,330910
Меренга,ул. Тенистая,д. 29,601941
Токсово,ул. Станционная,д. 16,446669
Энгельс,ул. Мельничная,д. 70,825028
Бомнак,ул. Партизанская,д. 74,925480
Дагомыс,ул. Заозерная,д. 63,834611
Тихвин,ул. Нагорная,д. 34,386784
Эльбрус,ул. Нефтяников,д. 54,044287
Нижний Новгород,ул. Ленинградская,д. 21,658854
Мончегорск,ул. Лазо,д. 50,430555
Ивдель,ул. Гайдара,д. 48,163084
Касимов,ул. Ильича,д. 14,888430
Мокшан,ул. Красина,д. 77,013214
Щельяюр,ул. Невского,д. 22,611933
Екатеринбург,ул. Л.Толстого,д. 26,823000
Рыльск,ул. Толстого,д. 00,919415
Усть-Джегута,ул. Кленовая,д. 80,161454
Волгоград,ул. Светлая,д. 52,097858
Александровск,ул. Пирогова,д. 53,514241
Южноуральск,ул. Прибрежная,д. 27,963229
Ямбург,ул. Партизанская,д. 74,925480
Шали,ул. 70 лет Октября,д. 67,139256
Ейск,ул. Моховая,д. 37,544461
Омск,ул. Коммунальная,д. 74,918107
Волоколамск,ул. Репина,д. 37,857160
Моршанск,ул. Приморская,д. 26,745173
Нижний Тагил,ул. Торговая,д. 17,910913
Ахтубинск,ул. Кольцова,д. 27,599450
Муром,ул. Орджоникидзе,д. 64,083641
Шатура,ул. Депутатская,д. 53,592545
Брянск,ул. Лесная,д. 19,116881
Устюжна,ул. Декабристов,д. 36,001914
Терскол,ул. Гаражная,д. 33,734670
Арсеньев,ул. Троицкая,д. 67,862498
Йошкар-Ола,ул. Карбышева,д. 61,570005
Верхоянск,ул. Советов,д. 54,844561
Ирбит,ул. Дарвина,д. 30,798195
Луга,ул. Кутузова,д. 82,630234
Урус-Мартан,ул. Сурикова,д. 55,938859
Мончегорск,ул. Транспортная,д. 20,493795
Богучар,ул. Городская,д. 99,491675
Красновишерск,ул. 9 Мая,д. 94,941802
Сортавала,ул. Коммунистическая,д. 65,149604
Салехард,ул. Пограничная,д. 25,534940
Ставрополь,ул. Алтайская,д. 76,190963
Качканар,ул. Луговая,д. 39,772210
Быково (метеост.),ул. Ростовская,д. 06,364990
Чегем,ул. 8-е Марта,д. 60,542074
Холмск,ул. Рязанская,д. 12,097322
Горно-Алтайск,ул. 70 лет Октября,д. 67,139256
Барнаул,ул. 1 Мая,д. 51,662247
Дивногорск,ул. Фурманова,д. 48,294424
Тверь,ул. Ветеранов,д. 60,134439
Апшеронск,ул. Краснознаменная,д. 59,824886
Дагомыс,ул. Металлистов,д. 58,484929
Гусь-Хрустальный,ул. Л.Толстого,д. 85,115387
Дмитров,ул. Аэродромная,д. 17,029938
Гдов,ул. Привольная,д. 51,265337
Ачхой Мартан,ул. Энгельса,д. 69,693451
Ряжск,ул. Мелиоративная,д. 17,836585
Кырен,ул. Пионерская,д. 28,962254
Сухиничи,ул. Сибирская,д. 70,985661
Томск,ул. Бажова,д. 81,576174
Глазов,ул. Ильича,д. 21,664784
Шумиха,ул. Садовая,д. 77,267815
Екатеринбург,ул. Крупской,д. 22,377936
Адыгейск,ул. Высоковольтная,д. 42,051595
Бологое,ул. Трудовая,д. 86,934876
Мезень,ул. Маркса,д. 72,816629
Сузун,ул. Баумана,д. 98,569532
Адыгейск,ул. Нагорная,д. 98,957424
Черняховск,ул. Достоевского,д. 53,492698
Амдерма,ул. Белорусская,д. 94,081974
Калачинск,ул. Котовского,д. 92,307916
Углегорск,ул. Толстого,д. 00,919415
Кисловодск,ул. Лесная,д. 19,116881
Павловская,ул. Камская,д. 15,756210
Нефтекамск,ул. Леваневского,д. 05,246022
Чегем,ул. Тюленина,д. 65,510371
Карпинск,ул. Коллективная,д. 14,062088
Каменск-Шахтинский,ул. Тенистая,д. 17,410910
Архангельск,ул. Алтайская,д. 70,524853
Ульяновск,ул. Майская,д. 62,183192
Анадырь,ул. Химиков,д. 65,866356
Горячинск,ул. Жукова,д. 84,350530
Вилюйск,ул. Урожайная,д. 65,688483
Горячий Ключ,ул. Космическая,д. 00,476112
Сусуман,ул. Фадеева,д. 81,465311
Советский,ул. Серова,д. 40,078694
Североуральск,ул. Смирнова,д. 14,080676
Бузулук,ул. Торговая,д. 35,834214
Агинское (Забайк.),ул. Ключевая,д. 88,273239
Льгов,ул. Донская,д. 76,291853
Кингисепп,ул. Лермонтова,д. 73,018026
Апрелевка,ул. Волочаевская,д. 86,423769
Надым,ул. Подгорная,д. 38,438145
Кузнецк,ул. Майская,д. 62,183192
Котлас,ул. Космонавтов,д. 01,015874
Александровск,ул. Механическая,д. 35,806887
Астрахань,ул. Майская,д. 62,097110
Волхов,ул. Космическая,д. 31,239657
Бологое,ул. Партизанская,д. 74,925480
Ижевск,ул. Станционная,д. 16,446669
Суздаль,ул. Широкая,д. 54,293950
Нарым,ул. Сплавная,д. 21,622577
Карпинск,ул. Павлова,д. 58,888219
Бузулук,ул. Свердлова,д. 04,694009
Брянск,ул. Подстанция,д. 90,757134
Асбест,ул. Космонавтов,д. 01,015874
Россошь,ул. Запорожская,д. 40,196128
Зарайск,ул. Крылова,д. 10,371043
Бологое,ул. Подстанция,д. 55,981749
Салават,ул. Курчатова,д. 46,704921
Ивдель,ул. Береговая,д. 67,137589
Лазаревское,ул. Олимпийская,д. 69,513561
Тутончаны,ул. Камская,д. 15,756210
Амдерма,ул. Березовая,д. 95,319561
Домодедово,ул. Флотская,д. 97,360874
Чусовой,ул. Белинского,д. 99,780090
Таганрог,ул. Гаражная,д. 73,403225
Моздок,ул. Вахитова,д. 89,023753
Минеральные Воды,ул. 40 лет Победы,д. 82,677026
Ершов,ул. Казачья,д. 13,048919
Челюскин,ул. Садовая,д. 64,337482
Волгодонск,ул. Тимирязева,д. 62,640996
Петухово,ул. Просторная,д. 85,976107
Асбест,ул. Енисейская,д. 30,454795
Токсово,ул. Правды,д. 26,365190
Тулпан,ул. Толбухина,д. 43,581814
Мыс Шмидта,ул. Подгорная,д. 72,460343
Салехард,ул. Дружба,д. 89,267776
Серов,ул. Гоголя,д. 92,544612
Лабинск,ул. Литейная,д. 28,517245
Воркута,ул. Леваневского,д. 54,121789
Сальск,ул. Просвещения,д. 58,678130
Холмогоры,ул. Прудовая,д. 48,774298
Сеймчан,ул. Поселковая,д. 64,855191
Тырныауз,ул. Локомотивная,д. 44,208998
Ростов,ул. Щорса,д. 10,880444
Ростов,ул. Толбухина,д. 43,581814
Горячий Ключ,ул. Железнодорожная,д. 87,561714
Беломорск,ул. Володарского,д. 84,235891
Агата,ул. Садовая,д. 19,592540
Лотошино,ул. Серова,д. 40,078694
Плес,ул. Толбухина,д. 43,581814
Ханты-Мансийск,ул. 40 лет Победы,д. 82,677026
Петухово,ул. Заозерная,д. 63,834611
Кудымкар,ул. Челюскинцев,д. 89,095127
Переславль-Залесский,ул. Механизаторов,д. 11,936313
Верхний Баскунчак,ул. Полярная,д. 27,046009
Златоуст,ул. Рязанская,д. 96,336288
Обнинск,ул. Олимпийская,д. 53,359708
Кемерово,ул. Короткая,д. 74,391799
Белгород,ул. Воронежская,д. 83,797656
Лесной (Сверд.),ул. Крестьянская,д. 06,736982
Юрьев-Польский,ул. Космическая,д. 38,638707
Домбай,ул. Фадеева,д. 81,465311
